epsilon,f1_macro,accuracy,uuc_accuracy,inner_metric,outer_metric,halfpoint,auroc
0.000,0.699,0.475,0.000,0.949,0.500,0.949,0.372
0.010,0.699,0.475,0.000,0.949,0.500,0.949,0.372
0.020,0.699,0.475,0.000,0.949,0.500,0.949,0.372
0.030,0.699,0.475,0.000,0.949,0.500,0.949,0.372
0.040,0.699,0.475,0.000,0.949,0.500,0.949,0.372
0.050,0.699,0.475,0.000,0.949,0.500,0.949,0.372
0.060,0.699,0.475,0.000,0.949,0.500,0.949,0.372
0.070,0.699,0.475,0.000,0.949,0.500,0.949,0.372
0.080,0.699,0.475,0.000,0.949,0.500,0.949,0.372
0.090,0.699,0.475,0.000,0.949,0.500,0.949,0.372
0.100,0.699,0.475,0.000,0.949,0.500,0.949,0.372
0.110,0.699,0.475,0.000,0.949,0.500,0.949,0.372
0.120,0.699,0.475,0.000,0.949,0.500,0.949,0.372
0.130,0.699,0.475,0.000,0.949,0.500,0.949,0.372
0.140,0.699,0.475,0.000,0.949,0.500,0.949,0.372
0.150,0.699,0.475,0.000,0.949,0.500,0.949,0.372
0.160,0.699,0.475,0.000,0.949,0.500,0.949,0.372
0.170,0.699,0.475,0.000,0.949,0.500,0.949,0.372
0.180,0.699,0.475,0.000,0.949,0.500,0.949,0.372
0.190,0.699,0.475,0.000,0.949,0.500,0.949,0.372
0.200,0.699,0.475,0.000,0.949,0.500,0.949,0.372
0.210,0.699,0.475,0.000,0.949,0.500,0.949,0.372
0.220,0.699,0.475,0.000,0.949,0.500,0.949,0.372
0.230,0.699,0.475,0.000,0.949,0.500,0.949,0.372
0.240,0.699,0.475,0.000,0.949,0.500,0.949,0.372
0.250,0.699,0.475,0.000,0.949,0.500,0.949,0.372
0.260,0.699,0.475,0.000,0.949,0.500,0.949,0.372
0.270,0.699,0.475,0.000,0.949,0.500,0.949,0.372
0.280,0.699,0.475,0.000,0.949,0.500,0.949,0.372
0.290,0.699,0.475,0.000,0.949,0.500,0.949,0.372
0.300,0.699,0.475,0.000,0.949,0.500,0.949,0.372
0.310,0.699,0.475,0.000,0.949,0.500,0.949,0.372
0.320,0.699,0.475,0.000,0.949,0.500,0.949,0.372
0.330,0.699,0.475,0.000,0.949,0.500,0.949,0.372
0.340,0.699,0.475,0.000,0.949,0.500,0.949,0.372
0.350,0.699,0.475,0.000,0.949,0.500,0.949,0.372
0.360,0.699,0.475,0.000,0.949,0.500,0.949,0.372
0.370,0.699,0.475,0.000,0.949,0.500,0.949,0.372
0.380,0.699,0.475,0.000,0.949,0.500,0.949,0.372
0.390,0.699,0.475,0.000,0.949,0.500,0.949,0.372
0.400,0.699,0.475,0.000,0.949,0.500,0.949,0.372
0.410,0.699,0.475,0.000,0.949,0.500,0.949,0.372
0.420,0.699,0.475,0.000,0.949,0.500,0.949,0.372
0.430,0.699,0.475,0.000,0.949,0.500,0.949,0.372
0.440,0.699,0.475,0.000,0.949,0.500,0.949,0.372
0.450,0.699,0.475,0.000,0.949,0.500,0.949,0.372
0.460,0.699,0.475,0.000,0.949,0.500,0.949,0.372
0.470,0.699,0.475,0.000,0.949,0.500,0.949,0.372
0.480,0.699,0.475,0.000,0.949,0.500,0.949,0.372
0.490,0.699,0.475,0.000,0.949,0.500,0.949,0.372
0.500,0.699,0.475,0.000,0.949,0.500,0.949,0.372
0.510,0.699,0.475,0.000,0.949,0.500,0.949,0.372
0.520,0.699,0.475,0.000,0.949,0.500,0.949,0.372
0.530,0.699,0.475,0.000,0.949,0.500,0.949,0.372
0.540,0.699,0.475,0.000,0.949,0.500,0.949,0.372
0.550,0.699,0.475,0.000,0.949,0.500,0.949,0.372
0.560,0.699,0.475,0.000,0.949,0.500,0.949,0.372
0.570,0.699,0.475,0.000,0.949,0.500,0.949,0.372
0.580,0.699,0.475,0.000,0.949,0.500,0.949,0.372
0.590,0.699,0.475,0.000,0.949,0.500,0.949,0.372
0.600,0.699,0.475,0.000,0.950,0.500,0.949,0.372
0.610,0.699,0.474,0.000,0.950,0.500,0.949,0.372
0.620,0.699,0.474,0.000,0.951,0.499,0.948,0.372
0.630,0.699,0.473,0.000,0.952,0.496,0.946,0.372
0.640,0.698,0.472,0.000,0.954,0.494,0.943,0.372
0.650,0.697,0.469,0.000,0.956,0.490,0.938,0.372
0.660,0.693,0.464,0.000,0.959,0.484,0.928,0.372
0.670,0.690,0.459,0.000,0.962,0.477,0.918,0.372
0.680,0.683,0.450,0.000,0.967,0.466,0.900,0.372
0.690,0.676,0.441,0.000,0.971,0.454,0.881,0.372
0.700,0.666,0.428,0.001,0.977,0.438,0.855,0.372
0.710,0.651,0.412,0.002,0.980,0.420,0.822,0.372
0.720,0.633,0.395,0.011,0.985,0.401,0.779,0.372
0.730,0.612,0.380,0.030,0.991,0.384,0.731,0.372
0.740,0.581,0.369,0.076,0.992,0.372,0.662,0.372
0.750,0.541,0.365,0.151,0.994,0.367,0.579,0.372
0.760,0.494,0.374,0.251,0.994,0.375,0.497,0.372
0.770,0.453,0.398,0.372,0.995,0.400,0.425,0.372
0.780,0.418,0.432,0.503,0.996,0.433,0.361,0.372
0.790,0.383,0.462,0.625,0.997,0.463,0.300,0.372
0.800,0.342,0.483,0.723,0.997,0.483,0.243,0.372
0.810,0.306,0.499,0.801,0.997,0.499,0.198,0.372
0.820,0.272,0.508,0.856,0.999,0.508,0.160,0.372
0.830,0.235,0.512,0.900,1.000,0.512,0.125,0.372
0.840,0.201,0.513,0.931,1.000,0.513,0.096,0.372
0.850,0.168,0.512,0.954,1.000,0.512,0.070,0.372
0.860,0.141,0.510,0.970,1.000,0.510,0.050,0.372
0.870,0.119,0.509,0.983,1.000,0.509,0.035,0.372
0.880,0.104,0.508,0.990,1.000,0.508,0.026,0.372
0.890,0.092,0.507,0.997,1.000,0.507,0.018,0.372
0.900,0.080,0.505,0.999,1.000,0.505,0.011,0.372
0.910,0.073,0.503,0.999,1.000,0.503,0.007,0.372
0.920,0.067,0.502,1.000,1.000,0.502,0.004,0.372
0.930,0.064,0.501,1.000,1.000,0.501,0.002,0.372
0.940,0.063,0.500,1.000,1.000,0.500,0.001,0.372
0.950,0.062,0.500,1.000,1.000,0.500,0.001,0.372
0.960,0.061,0.500,1.000,1.000,0.500,0.000,0.372
0.970,0.061,0.500,1.000,1.000,0.500,0.000,0.372
0.980,0.061,0.500,1.000,1.000,0.500,0.000,0.372
0.990,0.061,0.500,1.000,1.000,0.500,0.000,0.372
