epsilon,f1_macro,accuracy,uuc_accuracy,inner_metric,outer_metric,halfpoint,auroc
0.000,0.680,0.489,0.000,0.979,0.500,0.979,0.996
0.010,0.713,0.538,0.099,0.979,0.549,0.979,0.996
0.020,0.734,0.574,0.169,0.979,0.584,0.978,0.996
0.030,0.760,0.619,0.261,0.979,0.630,0.978,0.996
0.040,0.787,0.668,0.359,0.979,0.679,0.978,0.996
0.050,0.816,0.721,0.464,0.979,0.732,0.978,0.996
0.060,0.844,0.773,0.568,0.979,0.783,0.978,0.996
0.070,0.867,0.816,0.655,0.980,0.826,0.978,0.996
0.080,0.887,0.854,0.732,0.981,0.864,0.977,0.996
0.090,0.906,0.885,0.795,0.981,0.895,0.976,0.996
0.100,0.922,0.912,0.850,0.982,0.921,0.974,0.996
0.110,0.935,0.931,0.889,0.983,0.940,0.973,0.996
0.120,0.945,0.946,0.920,0.983,0.954,0.972,0.996
0.130,0.953,0.956,0.942,0.984,0.964,0.970,0.996
0.140,0.960,0.964,0.960,0.985,0.972,0.969,0.996
0.150,0.964,0.969,0.973,0.986,0.976,0.966,0.996
0.160,0.967,0.972,0.981,0.987,0.979,0.964,0.996
0.170,0.969,0.974,0.986,0.988,0.980,0.962,0.996
0.180,0.969,0.974,0.991,0.989,0.980,0.958,0.996
0.190,0.970,0.975,0.995,0.990,0.980,0.955,0.996
0.200,0.969,0.973,0.996,0.991,0.978,0.951,0.996
0.210,0.969,0.972,0.997,0.992,0.976,0.948,0.996
0.220,0.966,0.970,0.998,0.993,0.973,0.942,0.996
0.230,0.964,0.968,0.999,0.994,0.971,0.937,0.996
0.240,0.961,0.965,0.999,0.995,0.967,0.930,0.996
0.250,0.958,0.962,0.999,0.996,0.964,0.924,0.996
0.260,0.956,0.959,1.000,0.996,0.961,0.919,0.996
0.270,0.951,0.955,1.000,0.997,0.956,0.909,0.996
0.280,0.947,0.951,1.000,0.997,0.952,0.901,0.996
0.290,0.942,0.946,1.000,0.997,0.947,0.892,0.996
0.300,0.937,0.941,1.000,0.998,0.942,0.882,0.996
0.310,0.931,0.936,1.000,0.998,0.937,0.873,0.996
0.320,0.925,0.931,1.000,0.998,0.931,0.862,0.996
0.330,0.920,0.926,1.000,0.999,0.926,0.852,0.996
0.340,0.914,0.921,1.000,0.999,0.922,0.843,0.996
0.350,0.907,0.915,1.000,0.999,0.916,0.831,0.996
0.360,0.901,0.909,1.000,0.999,0.910,0.819,0.996
0.370,0.893,0.903,1.000,0.999,0.903,0.806,0.996
0.380,0.883,0.895,1.000,1.000,0.895,0.789,0.996
0.390,0.873,0.886,1.000,1.000,0.887,0.773,0.996
0.400,0.861,0.877,1.000,1.000,0.877,0.754,0.996
0.410,0.849,0.867,1.000,1.000,0.868,0.735,0.996
0.420,0.834,0.856,1.000,1.000,0.856,0.712,0.996
0.430,0.821,0.846,1.000,1.000,0.846,0.692,0.996
0.440,0.805,0.834,1.000,1.000,0.834,0.669,0.996
0.450,0.785,0.820,1.000,1.000,0.820,0.639,0.996
0.460,0.766,0.807,1.000,1.000,0.807,0.614,0.996
0.470,0.747,0.794,1.000,1.000,0.794,0.587,0.996
0.480,0.721,0.777,1.000,1.000,0.777,0.553,0.996
0.490,0.697,0.762,1.000,1.000,0.762,0.523,0.996
0.500,0.671,0.746,1.000,1.000,0.746,0.492,0.996
0.510,0.645,0.731,1.000,1.000,0.731,0.462,0.996
0.520,0.617,0.715,1.000,1.000,0.716,0.431,0.996
0.530,0.590,0.701,1.000,1.000,0.701,0.402,0.996
0.540,0.562,0.687,1.000,1.000,0.687,0.374,0.996
0.550,0.528,0.671,1.000,1.000,0.671,0.341,0.996
0.560,0.493,0.655,1.000,1.000,0.655,0.309,0.996
0.570,0.457,0.639,1.000,1.000,0.639,0.278,0.996
0.580,0.418,0.622,1.000,1.000,0.622,0.245,0.996
0.590,0.388,0.610,1.000,1.000,0.610,0.221,0.996
0.600,0.356,0.598,1.000,1.000,0.598,0.195,0.996
0.610,0.325,0.586,1.000,1.000,0.586,0.172,0.996
0.620,0.295,0.575,1.000,1.000,0.575,0.150,0.996
0.630,0.267,0.565,1.000,1.000,0.565,0.129,0.996
0.640,0.240,0.555,1.000,1.000,0.555,0.111,0.996
0.650,0.216,0.547,1.000,1.000,0.547,0.094,0.996
0.660,0.197,0.541,1.000,1.000,0.541,0.082,0.996
0.670,0.180,0.535,1.000,1.000,0.535,0.070,0.996
0.680,0.162,0.529,1.000,1.000,0.529,0.059,0.996
0.690,0.150,0.526,1.000,1.000,0.526,0.051,0.996
0.700,0.137,0.522,1.000,1.000,0.522,0.043,0.996
0.710,0.125,0.518,1.000,1.000,0.518,0.037,0.996
0.720,0.114,0.515,1.000,1.000,0.515,0.030,0.996
0.730,0.102,0.511,1.000,1.000,0.511,0.023,0.996
0.740,0.095,0.509,1.000,1.000,0.509,0.019,0.996
0.750,0.086,0.507,1.000,1.000,0.507,0.014,0.996
0.760,0.080,0.505,1.000,1.000,0.505,0.010,0.996
0.770,0.077,0.504,1.000,1.000,0.504,0.009,0.996
0.780,0.073,0.503,1.000,1.000,0.503,0.007,0.996
0.790,0.071,0.503,1.000,1.000,0.503,0.005,0.996
0.800,0.068,0.502,1.000,1.000,0.502,0.004,0.996
0.810,0.066,0.501,1.000,1.000,0.501,0.003,0.996
0.820,0.065,0.501,1.000,1.000,0.501,0.002,0.996
0.830,0.064,0.501,1.000,1.000,0.501,0.002,0.996
0.840,0.062,0.500,1.000,1.000,0.500,0.001,0.996
0.850,0.062,0.500,1.000,1.000,0.500,0.001,0.996
0.860,0.062,0.500,1.000,1.000,0.500,0.001,0.996
0.870,0.061,0.500,1.000,1.000,0.500,0.000,0.996
0.880,0.061,0.500,1.000,1.000,0.500,0.000,0.996
0.890,0.061,0.500,1.000,1.000,0.500,0.000,0.996
0.900,0.061,0.500,1.000,1.000,0.500,0.000,0.996
0.910,0.061,0.500,1.000,1.000,0.500,0.000,0.996
0.920,0.061,0.500,1.000,1.000,0.500,0.000,0.996
0.930,0.061,0.500,1.000,1.000,0.500,0.000,0.996
0.940,0.061,0.500,1.000,1.000,0.500,0.000,0.996
0.950,0.061,0.500,1.000,1.000,0.500,0.000,0.996
0.960,0.061,0.500,1.000,1.000,0.500,0.000,0.996
0.970,0.061,0.500,1.000,1.000,0.500,0.000,0.996
0.980,0.061,0.500,1.000,1.000,0.500,0.000,0.996
0.990,0.061,0.500,1.000,1.000,0.500,0.000,0.996
