epsilon,f1,acc,uuc_acc,inner,outer,half,auroc
[],"[0.45555555555555555, 0.4322751322751323, 0.43555555555555553, 0.430416068866571, 0.45342312008978675]","[0.48936170212765956, 0.4791666666666667, 0.4897959183673469, 0.47058823529411764, 0.4791666666666667]","[0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.48936170212765956, 0.4791666666666667, 0.4897959183673469, 0.47058823529411764, 0.4791666666666667]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 0.9965217391304348, 0.9833333333333333, 0.9938271604938272, 0.9982608695652173]"
[],"[0.45555555555555555, 0.4322751322751323, 0.43555555555555553, 0.430416068866571, 0.45342312008978675]","[0.48936170212765956, 0.4791666666666667, 0.4897959183673469, 0.47058823529411764, 0.4791666666666667]","[0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.48936170212765956, 0.4791666666666667, 0.4897959183673469, 0.47058823529411764, 0.4791666666666667]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 0.9965217391304348, 0.9833333333333333, 0.9938271604938272, 0.9982608695652173]"
[],"[0.45555555555555555, 0.4322751322751323, 0.43555555555555553, 0.430416068866571, 0.45342312008978675]","[0.48936170212765956, 0.4791666666666667, 0.4897959183673469, 0.47058823529411764, 0.4791666666666667]","[0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.48936170212765956, 0.4791666666666667, 0.4897959183673469, 0.47058823529411764, 0.4791666666666667]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 0.9965217391304348, 0.9833333333333333, 0.9938271604938272, 0.9982608695652173]"
[],"[0.45555555555555555, 0.4322751322751323, 0.43555555555555553, 0.430416068866571, 0.45342312008978675]","[0.48936170212765956, 0.4791666666666667, 0.4897959183673469, 0.47058823529411764, 0.4791666666666667]","[0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.48936170212765956, 0.4791666666666667, 0.4897959183673469, 0.47058823529411764, 0.4791666666666667]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 0.9965217391304348, 0.9833333333333333, 0.9938271604938272, 0.9982608695652173]"
[],"[0.45555555555555555, 0.4322751322751323, 0.43555555555555553, 0.430416068866571, 0.45342312008978675]","[0.48936170212765956, 0.4791666666666667, 0.4897959183673469, 0.47058823529411764, 0.4791666666666667]","[0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.48936170212765956, 0.4791666666666667, 0.4897959183673469, 0.47058823529411764, 0.4791666666666667]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 0.9965217391304348, 0.9833333333333333, 0.9938271604938272, 0.9982608695652173]"
[],"[0.45555555555555555, 0.4322751322751323, 0.43555555555555553, 0.430416068866571, 0.45342312008978675]","[0.48936170212765956, 0.4791666666666667, 0.4897959183673469, 0.47058823529411764, 0.4791666666666667]","[0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.48936170212765956, 0.4791666666666667, 0.4897959183673469, 0.47058823529411764, 0.4791666666666667]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 0.9965217391304348, 0.9833333333333333, 0.9938271604938272, 0.9982608695652173]"
[],"[0.45555555555555555, 0.4322751322751323, 0.43555555555555553, 0.430416068866571, 0.45342312008978675]","[0.48936170212765956, 0.4791666666666667, 0.4897959183673469, 0.47058823529411764, 0.4791666666666667]","[0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.48936170212765956, 0.4791666666666667, 0.4897959183673469, 0.47058823529411764, 0.4791666666666667]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 0.9965217391304348, 0.9833333333333333, 0.9938271604938272, 0.9982608695652173]"
[],"[0.45555555555555555, 0.4322751322751323, 0.43555555555555553, 0.430416068866571, 0.45342312008978675]","[0.48936170212765956, 0.4791666666666667, 0.4897959183673469, 0.47058823529411764, 0.4791666666666667]","[0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.48936170212765956, 0.4791666666666667, 0.4897959183673469, 0.47058823529411764, 0.4791666666666667]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 0.9965217391304348, 0.9833333333333333, 0.9938271604938272, 0.9982608695652173]"
[],"[0.45555555555555555, 0.4322751322751323, 0.43555555555555553, 0.430416068866571, 0.45342312008978675]","[0.48936170212765956, 0.4791666666666667, 0.4897959183673469, 0.47058823529411764, 0.4791666666666667]","[0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.48936170212765956, 0.4791666666666667, 0.4897959183673469, 0.47058823529411764, 0.4791666666666667]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 0.9965217391304348, 0.9833333333333333, 0.9938271604938272, 0.9982608695652173]"
[],"[0.45555555555555555, 0.4322751322751323, 0.43555555555555553, 0.430416068866571, 0.45342312008978675]","[0.48936170212765956, 0.4791666666666667, 0.4897959183673469, 0.47058823529411764, 0.4791666666666667]","[0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.48936170212765956, 0.4791666666666667, 0.4897959183673469, 0.47058823529411764, 0.4791666666666667]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 0.9965217391304348, 0.9833333333333333, 0.9938271604938272, 0.9982608695652173]"
