y,x,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24,feature25,feature26,feature27,feature28,feature29,feature30,feature31,feature32,feature33,feature34,feature35,feature36,feature37,feature38,feature39,feature40,feature41,feature42,feature43,feature44,feature45,feature46,feature47,feature48,feature49,feature50,class
40,180,202.17,103.8,166.3,188.33,14.2811,0.4,1.07,16.5211,2.0,5.0,3.0,12.0,2.0,4.0,3.0,2.0,3.0,17.0,0.0,17.0,8.0,6.0,6.0,10.0,62.565771,175.649259,103.381111,160.825679,160.242222,444.40303,7.097347,36.689118,465.259353,379.0,347.0,272.0,1165.0,342.0,110.0,564.0,514.0,265.0,497.0,81.0,564.0,1291.0,489.0,518.0,702.0,34.477993,1
40,400,189.61,99.3,169.97,172.85,37.5179,1.11,4.4291,40.8075,3.0,8.0,1.0,18.0,6.0,3.0,7.0,12.0,1.0,8.0,1.0,14.0,6.0,3.0,3.0,6.0,47.085771,189.149877,101.007654,166.101235,173.281481,162.768401,3.655744,24.245554,173.210151,405.0,375.0,280.0,1091.0,375.0,146.0,478.0,495.0,272.0,552.0,104.0,569.0,1147.0,533.0,574.0,704.0,47.517253,1
40,420,195.19,101.16,166.04,179.84,17.6539,0.1744,0.6184,21.0144,2.0,0.0,1.0,15.0,5.0,0.0,6.0,6.0,7.0,0.0,2.0,6.0,18.0,14.0,12.0,6.0,54.075771,189.542469,100.981605,165.10037,173.725926,102.318567,2.753118,24.966099,110.469575,386.0,385.0,277.0,1082.0,369.0,151.0,478.0,501.0,267.0,556.0,110.0,574.0,1083.0,554.0,607.0,720.0,47.961697,1
40,510,163.47,111.08,152.02,150.39,303.4491,9.6336,40.2796,288.3579,2.0,0.0,2.0,26.0,5.0,0.0,10.0,15.0,2.0,0.0,1.0,0.0,21.0,2.0,9.0,5.0,24.625771,190.068395,104.195185,159.796543,175.701235,152.909149,6.27536,26.305272,159.840122,395.0,372.0,305.0,1117.0,354.0,121.0,541.0,552.0,292.0,572.0,104.0,594.0,1062.0,493.0,541.0,685.0,49.937006,1
40,810,184.94,103.94,163.42,170.18,653.9564,7.7364,108.5436,667.8276,4.0,3.0,9.0,26.0,7.0,1.0,7.0,5.0,1.0,1.0,1.0,7.0,11.0,2.0,9.0,6.0,44.415771,198.948642,104.378889,162.33037,185.27963,387.210202,8.086196,50.063942,409.077239,416.0,355.0,330.0,1254.0,343.0,87.0,519.0,526.0,323.0,499.0,88.0,521.0,1232.0,502.0,498.0,607.0,59.515401,1
40,880,200.26,103.59,161.97,186.13,64.7324,0.6219,4.1691,74.8931,4.0,5.0,6.0,7.0,5.0,2.0,11.0,5.0,1.0,11.0,1.0,9.0,11.0,5.0,10.0,7.0,60.365771,199.021852,104.05358,162.187654,185.19642,282.618658,5.687746,38.692193,301.088209,435.0,397.0,320.0,1191.0,366.0,109.0,573.0,483.0,304.0,616.0,98.0,545.0,1083.0,482.0,494.0,604.0,59.432191,1
40,1010,204.6,106.49,156.6,192.34,106.4,1.7899,4.02,116.8644,4.0,6.0,4.0,16.0,1.0,1.0,3.0,5.0,6.0,10.0,2.0,11.0,14.0,9.0,1.0,7.0,66.575771,200.20358,106.307654,158.648889,187.462469,384.607074,8.013497,39.63919,407.906616,432.0,403.0,335.0,1121.0,367.0,109.0,661.0,478.0,307.0,660.0,92.0,536.0,1093.0,447.0,506.0,553.0,61.69824,1
40,1090,199.01,106.39,158.19,186.04,116.9699,0.5979,48.0539,135.2184,3.0,3.0,7.0,14.0,5.0,2.0,8.0,7.0,3.0,4.0,2.0,2.0,19.0,2.0,9.0,10.0,60.275771,196.879136,105.106049,158.659012,183.42358,301.888478,6.261963,35.294592,324.22737,444.0,451.0,343.0,1071.0,397.0,102.0,607.0,443.0,359.0,685.0,90.0,519.0,1051.0,472.0,465.0,601.0,57.659351,1
40,1310,176.37,106.84,156.5,162.5,643.7531,2.5744,46.71,679.13,3.0,3.0,8.0,12.0,7.0,4.0,15.0,6.0,3.0,0.0,0.0,2.0,17.0,5.0,10.0,5.0,36.735771,192.717901,106.04037,156.918765,179.496543,533.907457,9.795778,39.118833,561.966531,447.0,418.0,348.0,1024.0,412.0,106.0,632.0,448.0,355.0,708.0,93.0,527.0,1108.0,447.0,509.0,518.0,53.732314,1
40,1320,193.04,104.88,164.76,178.9,185.3384,0.5656,6.7224,212.59,6.0,2.0,7.0,15.0,7.0,1.0,7.0,9.0,2.0,3.0,1.0,3.0,21.0,4.0,5.0,7.0,53.135771,192.055185,106.104691,156.666667,178.825802,548.264485,9.098422,42.114074,577.715458,449.0,411.0,355.0,1067.0,410.0,114.0,612.0,446.0,358.0,714.0,95.0,517.0,1099.0,433.0,503.0,517.0,53.061574,1
