epsilon,f1_macro,accuracy,uuc_accuracy,inner_metric,outer_metric,halfpoint,auroc
0.000,0.708,0.470,0.000,0.940,0.500,0.940,0.183
0.500,0.708,0.470,0.000,0.940,0.500,0.940,0.183
1.000,0.708,0.470,0.000,0.940,0.500,0.940,0.183
1.500,0.708,0.470,0.000,0.941,0.500,0.940,0.183
2.000,0.708,0.470,0.000,0.941,0.499,0.940,0.183
2.500,0.708,0.470,0.000,0.942,0.499,0.939,0.183
3.000,0.707,0.468,0.000,0.943,0.496,0.936,0.183
3.500,0.706,0.466,0.000,0.945,0.493,0.932,0.183
4.000,0.703,0.461,0.000,0.950,0.486,0.923,0.183
4.500,0.698,0.454,0.000,0.953,0.477,0.909,0.183
5.000,0.690,0.443,0.000,0.958,0.463,0.886,0.183
5.500,0.681,0.431,0.000,0.963,0.447,0.861,0.183
6.000,0.666,0.413,0.001,0.969,0.427,0.826,0.183
6.500,0.645,0.392,0.001,0.973,0.402,0.782,0.183
7.000,0.615,0.365,0.002,0.977,0.374,0.728,0.183
7.500,0.577,0.335,0.007,0.980,0.342,0.663,0.183
8.000,0.539,0.309,0.013,0.984,0.314,0.606,0.183
8.500,0.499,0.286,0.025,0.986,0.290,0.547,0.183
9.000,0.464,0.267,0.044,0.987,0.271,0.491,0.183
9.500,0.431,0.257,0.075,0.988,0.260,0.440,0.183
10.000,0.401,0.253,0.117,0.989,0.255,0.389,0.183
10.500,0.369,0.257,0.176,0.992,0.258,0.338,0.183
11.000,0.339,0.269,0.248,0.990,0.270,0.290,0.183
11.500,0.308,0.284,0.320,0.991,0.285,0.247,0.183
12.000,0.278,0.307,0.403,0.993,0.307,0.210,0.183
12.500,0.250,0.327,0.478,0.995,0.328,0.176,0.183
13.000,0.222,0.350,0.555,0.995,0.350,0.144,0.183
13.500,0.197,0.371,0.625,0.997,0.371,0.117,0.183
14.000,0.172,0.391,0.689,0.998,0.391,0.093,0.183
14.500,0.154,0.410,0.745,0.998,0.410,0.075,0.183
15.000,0.133,0.426,0.795,1.000,0.426,0.056,0.183
15.500,0.120,0.442,0.839,1.000,0.442,0.044,0.183
16.000,0.110,0.455,0.874,1.000,0.455,0.036,0.183
16.500,0.099,0.464,0.900,1.000,0.464,0.027,0.183
17.000,0.086,0.471,0.924,1.000,0.471,0.018,0.183
17.500,0.080,0.478,0.942,1.000,0.478,0.014,0.183
18.000,0.072,0.483,0.958,1.000,0.483,0.008,0.183
18.500,0.069,0.488,0.971,1.000,0.488,0.006,0.183
19.000,0.065,0.490,0.978,1.000,0.490,0.003,0.183
19.500,0.064,0.493,0.984,1.000,0.493,0.002,0.183
20.000,0.062,0.495,0.989,1.000,0.495,0.001,0.183
20.500,0.061,0.497,0.993,1.000,0.497,0.001,0.183
21.000,0.062,0.497,0.994,1.000,0.497,0.001,0.183
21.500,0.061,0.498,0.996,1.000,0.498,0.001,0.183
22.000,0.061,0.499,0.997,1.000,0.499,0.000,0.183
22.500,0.061,0.499,0.999,1.000,0.499,0.000,0.183
23.000,0.061,0.500,0.999,1.000,0.500,0.000,0.183
23.500,0.061,0.500,0.999,1.000,0.500,0.000,0.183
24.000,0.061,0.500,1.000,1.000,0.500,0.000,0.183
24.500,0.061,0.500,1.000,1.000,0.500,0.000,0.183
25.000,0.061,0.500,1.000,1.000,0.500,0.000,0.183
25.500,0.061,0.500,1.000,1.000,0.500,0.000,0.183
26.000,0.061,0.500,1.000,1.000,0.500,0.000,0.183
26.500,0.061,0.500,1.000,1.000,0.500,0.000,0.183
27.000,0.061,0.500,1.000,1.000,0.500,0.000,0.183
27.500,0.061,0.500,1.000,1.000,0.500,0.000,0.183
28.000,0.061,0.500,1.000,1.000,0.500,0.000,0.183
28.500,0.061,0.500,1.000,1.000,0.500,0.000,0.183
29.000,0.061,0.500,1.000,1.000,0.500,0.000,0.183
29.500,0.061,0.500,1.000,1.000,0.500,0.000,0.183
