epsilon,f1_macro,accuracy,uuc_accuracy,inner_metric,outer_metric,halfpoint,auroc
0.000,0.751,0.492,0.000,0.985,0.500,0.985,0.998
0.500,0.751,0.492,0.000,0.985,0.500,0.985,0.998
1.000,0.751,0.492,0.000,0.985,0.500,0.985,0.998
1.500,0.758,0.502,0.019,0.985,0.509,0.985,0.998
2.000,0.793,0.564,0.144,0.985,0.572,0.985,0.998
2.500,0.846,0.681,0.377,0.985,0.688,0.985,0.998
3.000,0.895,0.806,0.628,0.986,0.813,0.984,0.998
3.500,0.928,0.895,0.807,0.986,0.901,0.982,0.998
4.000,0.953,0.947,0.912,0.988,0.953,0.981,0.998
4.500,0.970,0.973,0.968,0.990,0.978,0.977,0.998
5.000,0.977,0.980,0.991,0.992,0.984,0.970,0.998
5.500,0.977,0.980,0.998,0.994,0.983,0.962,0.998
6.000,0.972,0.975,1.000,0.995,0.977,0.951,0.998
6.500,0.964,0.967,1.000,0.995,0.969,0.934,0.998
7.000,0.951,0.954,1.000,0.997,0.956,0.909,0.998
7.500,0.934,0.939,1.000,0.998,0.940,0.878,0.998
8.000,0.908,0.917,1.000,0.998,0.917,0.833,0.998
8.500,0.874,0.888,1.000,0.998,0.889,0.776,0.998
9.000,0.825,0.851,1.000,0.999,0.851,0.702,0.998
9.500,0.760,0.806,1.000,0.999,0.807,0.613,0.998
10.000,0.669,0.752,1.000,1.000,0.752,0.503,0.998
10.500,0.569,0.700,1.000,1.000,0.700,0.400,0.998
11.000,0.466,0.651,1.000,1.000,0.651,0.303,0.998
11.500,0.374,0.611,1.000,1.000,0.611,0.222,0.998
12.000,0.293,0.578,1.000,1.000,0.578,0.156,0.998
12.500,0.221,0.551,1.000,1.000,0.551,0.102,0.998
13.000,0.168,0.532,1.000,1.000,0.532,0.065,0.998
13.500,0.119,0.517,1.000,1.000,0.517,0.033,0.998
14.000,0.094,0.509,1.000,1.000,0.509,0.018,0.998
14.500,0.078,0.505,1.000,1.000,0.505,0.009,0.998
15.000,0.069,0.502,1.000,1.000,0.502,0.004,0.998
15.500,0.064,0.501,1.000,1.000,0.501,0.002,0.998
16.000,0.063,0.501,1.000,1.000,0.501,0.001,0.998
16.500,0.061,0.500,1.000,1.000,0.500,0.000,0.998
17.000,0.061,0.500,1.000,1.000,0.500,0.000,0.998
17.500,0.061,0.500,1.000,1.000,0.500,0.000,0.998
18.000,0.061,0.500,1.000,1.000,0.500,0.000,0.998
18.500,0.061,0.500,1.000,1.000,0.500,0.000,0.998
19.000,0.061,0.500,1.000,1.000,0.500,0.000,0.998
19.500,0.061,0.500,1.000,1.000,0.500,0.000,0.998
20.000,0.061,0.500,1.000,1.000,0.500,0.000,0.998
20.500,0.061,0.500,1.000,1.000,0.500,0.000,0.998
21.000,0.061,0.500,1.000,1.000,0.500,0.000,0.998
21.500,0.061,0.500,1.000,1.000,0.500,0.000,0.998
22.000,0.061,0.500,1.000,1.000,0.500,0.000,0.998
22.500,0.061,0.500,1.000,1.000,0.500,0.000,0.998
23.000,0.061,0.500,1.000,1.000,0.500,0.000,0.998
23.500,0.061,0.500,1.000,1.000,0.500,0.000,0.998
24.000,0.061,0.500,1.000,1.000,0.500,0.000,0.998
24.500,0.061,0.500,1.000,1.000,0.500,0.000,0.998
25.000,0.061,0.500,1.000,1.000,0.500,0.000,0.998
25.500,0.061,0.500,1.000,1.000,0.500,0.000,0.998
26.000,0.061,0.500,1.000,1.000,0.500,0.000,0.998
26.500,0.061,0.500,1.000,1.000,0.500,0.000,0.998
27.000,0.061,0.500,1.000,1.000,0.500,0.000,0.998
27.500,0.061,0.500,1.000,1.000,0.500,0.000,0.998
28.000,0.061,0.500,1.000,1.000,0.500,0.000,0.998
28.500,0.061,0.500,1.000,1.000,0.500,0.000,0.998
29.000,0.061,0.500,1.000,1.000,0.500,0.000,0.998
29.500,0.061,0.500,1.000,1.000,0.500,0.000,0.998
