epsilon,f1_macro,accuracy,uuc_accuracy,inner_metric,outer_metric,halfpoint,auroc
0.000,0.708,0.495,0.000,0.991,0.500,0.991,0.997
0.500,0.708,0.495,0.000,0.991,0.500,0.991,0.997
1.000,0.708,0.495,0.000,0.991,0.500,0.991,0.997
1.500,0.709,0.497,0.004,0.991,0.502,0.991,0.997
2.000,0.715,0.505,0.019,0.991,0.509,0.991,0.997
2.500,0.735,0.537,0.083,0.991,0.541,0.991,0.997
3.000,0.766,0.591,0.192,0.991,0.596,0.991,0.997
3.500,0.805,0.666,0.342,0.991,0.671,0.991,0.997
4.000,0.846,0.747,0.504,0.991,0.752,0.991,0.997
4.500,0.882,0.821,0.651,0.992,0.825,0.990,0.997
5.000,0.912,0.880,0.770,0.993,0.883,0.989,0.997
5.500,0.936,0.923,0.859,0.993,0.927,0.987,0.997
6.000,0.954,0.950,0.916,0.994,0.953,0.985,0.997
6.500,0.965,0.965,0.950,0.994,0.968,0.981,0.997
7.000,0.973,0.975,0.973,0.995,0.977,0.977,0.997
7.500,0.975,0.977,0.985,0.996,0.979,0.968,0.997
8.000,0.975,0.976,0.993,0.996,0.978,0.960,0.997
8.500,0.971,0.973,0.997,0.997,0.974,0.949,0.997
9.000,0.963,0.964,0.998,0.998,0.965,0.930,0.997
9.500,0.950,0.953,0.999,0.999,0.953,0.906,0.997
10.000,0.932,0.937,1.000,0.998,0.937,0.873,0.997
10.500,0.904,0.913,1.000,0.999,0.913,0.826,0.997
11.000,0.869,0.886,1.000,1.000,0.887,0.773,0.997
11.500,0.823,0.855,1.000,1.000,0.856,0.711,0.997
12.000,0.777,0.823,1.000,1.000,0.823,0.646,0.997
12.500,0.720,0.787,1.000,1.000,0.787,0.574,0.997
13.000,0.662,0.752,1.000,1.000,0.752,0.504,0.997
13.500,0.590,0.713,1.000,1.000,0.713,0.425,0.997
14.000,0.509,0.672,1.000,1.000,0.672,0.344,0.997
14.500,0.424,0.632,1.000,1.000,0.632,0.265,0.997
15.000,0.342,0.597,1.000,1.000,0.597,0.194,0.997
15.500,0.272,0.570,1.000,1.000,0.570,0.140,0.997
16.000,0.215,0.549,1.000,1.000,0.549,0.099,0.997
16.500,0.162,0.532,1.000,1.000,0.532,0.064,0.997
17.000,0.124,0.520,1.000,1.000,0.520,0.039,0.997
17.500,0.103,0.513,1.000,1.000,0.513,0.026,0.997
18.000,0.089,0.508,1.000,1.000,0.508,0.016,0.997
18.500,0.077,0.505,1.000,1.000,0.505,0.009,0.997
19.000,0.069,0.502,1.000,1.000,0.502,0.004,0.997
19.500,0.064,0.501,1.000,1.000,0.501,0.002,0.997
20.000,0.062,0.500,1.000,1.000,0.500,0.001,0.997
20.500,0.061,0.500,1.000,1.000,0.500,0.000,0.997
21.000,0.061,0.500,1.000,1.000,0.500,0.000,0.997
21.500,0.061,0.500,1.000,1.000,0.500,0.000,0.997
22.000,0.061,0.500,1.000,1.000,0.500,0.000,0.997
22.500,0.061,0.500,1.000,1.000,0.500,0.000,0.997
23.000,0.061,0.500,1.000,1.000,0.500,0.000,0.997
23.500,0.061,0.500,1.000,1.000,0.500,0.000,0.997
24.000,0.061,0.500,1.000,1.000,0.500,0.000,0.997
24.500,0.061,0.500,1.000,1.000,0.500,0.000,0.997
25.000,0.061,0.500,1.000,1.000,0.500,0.000,0.997
25.500,0.061,0.500,1.000,1.000,0.500,0.000,0.997
26.000,0.061,0.500,1.000,1.000,0.500,0.000,0.997
26.500,0.061,0.500,1.000,1.000,0.500,0.000,0.997
27.000,0.061,0.500,1.000,1.000,0.500,0.000,0.997
27.500,0.061,0.500,1.000,1.000,0.500,0.000,0.997
28.000,0.061,0.500,1.000,1.000,0.500,0.000,0.997
28.500,0.061,0.500,1.000,1.000,0.500,0.000,0.997
29.000,0.061,0.500,1.000,1.000,0.500,0.000,0.997
29.500,0.061,0.500,1.000,1.000,0.500,0.000,0.997
