epsilon,f1_macro,accuracy,uuc_accuracy,inner_metric,outer_metric,halfpoint,auroc
0.000,0.061,0.500,1.000,1.000,0.500,0.000,0.928
0.010,0.883,0.872,0.892,0.999,0.873,0.852,0.928
0.020,0.886,0.858,0.842,0.998,0.859,0.875,0.928
0.030,0.885,0.847,0.809,0.998,0.848,0.885,0.928
0.040,0.886,0.838,0.782,0.998,0.839,0.894,0.928
0.050,0.887,0.832,0.763,0.998,0.833,0.901,0.928
0.060,0.886,0.823,0.741,0.998,0.824,0.906,0.928
0.070,0.885,0.817,0.724,0.998,0.818,0.909,0.928
0.080,0.885,0.811,0.710,0.998,0.812,0.912,0.928
0.090,0.885,0.806,0.696,0.998,0.807,0.915,0.928
0.100,0.884,0.799,0.679,0.998,0.800,0.918,0.928
0.110,0.883,0.793,0.665,0.998,0.794,0.920,0.928
0.120,0.882,0.787,0.653,0.998,0.788,0.921,0.928
0.130,0.881,0.782,0.642,0.997,0.784,0.923,0.928
0.140,0.880,0.778,0.632,0.997,0.779,0.924,0.928
0.150,0.880,0.773,0.622,0.997,0.775,0.925,0.928
0.160,0.879,0.769,0.612,0.997,0.771,0.926,0.928
0.170,0.879,0.766,0.605,0.997,0.767,0.927,0.928
0.180,0.878,0.762,0.595,0.997,0.763,0.928,0.928
0.190,0.878,0.758,0.587,0.997,0.759,0.930,0.928
0.200,0.877,0.754,0.578,0.997,0.756,0.931,0.928
0.210,0.877,0.752,0.572,0.997,0.753,0.931,0.928
0.220,0.877,0.750,0.567,0.997,0.751,0.933,0.928
0.230,0.876,0.746,0.560,0.997,0.748,0.933,0.928
0.240,0.875,0.743,0.552,0.997,0.744,0.934,0.928
0.250,0.875,0.740,0.545,0.997,0.742,0.934,0.928
0.260,0.875,0.737,0.539,0.997,0.739,0.935,0.928
0.270,0.874,0.735,0.534,0.996,0.737,0.936,0.928
0.280,0.874,0.733,0.529,0.996,0.734,0.936,0.928
0.290,0.873,0.730,0.523,0.996,0.732,0.937,0.928
0.300,0.873,0.727,0.517,0.996,0.729,0.938,0.928
0.310,0.872,0.724,0.511,0.996,0.726,0.938,0.928
0.320,0.872,0.722,0.505,0.996,0.724,0.938,0.928
0.330,0.871,0.719,0.499,0.996,0.721,0.939,0.928
0.340,0.871,0.717,0.495,0.996,0.719,0.939,0.928
0.350,0.871,0.715,0.491,0.996,0.717,0.940,0.928
0.360,0.870,0.713,0.486,0.996,0.715,0.941,0.928
0.370,0.870,0.712,0.482,0.996,0.714,0.941,0.928
0.380,0.870,0.710,0.478,0.996,0.712,0.942,0.928
0.390,0.870,0.708,0.474,0.995,0.710,0.942,0.928
0.400,0.869,0.705,0.469,0.995,0.708,0.942,0.928
0.410,0.868,0.703,0.465,0.995,0.706,0.942,0.928
0.420,0.868,0.702,0.461,0.995,0.704,0.943,0.928
0.430,0.868,0.700,0.456,0.995,0.702,0.943,0.928
0.440,0.868,0.698,0.452,0.995,0.700,0.944,0.928
0.450,0.867,0.696,0.447,0.995,0.698,0.945,0.928
0.460,0.867,0.694,0.443,0.995,0.696,0.945,0.928
0.470,0.866,0.691,0.438,0.995,0.693,0.945,0.928
0.480,0.866,0.690,0.434,0.995,0.692,0.946,0.928
0.490,0.866,0.688,0.430,0.995,0.690,0.946,0.928
0.500,0.865,0.686,0.426,0.995,0.689,0.946,0.928
0.510,0.865,0.685,0.422,0.995,0.687,0.947,0.928
0.520,0.865,0.683,0.419,0.994,0.686,0.948,0.928
0.530,0.865,0.682,0.416,0.994,0.685,0.948,0.928
0.540,0.864,0.680,0.412,0.994,0.683,0.948,0.928
0.550,0.864,0.678,0.407,0.994,0.681,0.949,0.928
0.560,0.863,0.676,0.403,0.994,0.679,0.949,0.928
0.570,0.863,0.674,0.399,0.994,0.677,0.949,0.928
0.580,0.863,0.672,0.395,0.994,0.675,0.949,0.928
0.590,0.862,0.670,0.391,0.994,0.673,0.950,0.928
0.600,0.862,0.669,0.388,0.994,0.672,0.950,0.928
0.610,0.862,0.667,0.383,0.994,0.670,0.950,0.928
0.620,0.861,0.665,0.380,0.994,0.668,0.951,0.928
0.630,0.861,0.664,0.376,0.993,0.667,0.951,0.928
0.640,0.861,0.663,0.374,0.993,0.666,0.952,0.928
0.650,0.860,0.661,0.370,0.993,0.664,0.952,0.928
0.660,0.860,0.659,0.367,0.993,0.663,0.952,0.928
0.670,0.860,0.658,0.365,0.993,0.662,0.952,0.928
0.680,0.859,0.657,0.363,0.993,0.661,0.952,0.928
0.690,0.859,0.656,0.360,0.993,0.659,0.952,0.928
0.700,0.859,0.655,0.359,0.993,0.659,0.952,0.928
0.710,0.859,0.654,0.356,0.993,0.658,0.952,0.928
0.720,0.858,0.653,0.354,0.993,0.657,0.953,0.928
0.730,0.858,0.652,0.351,0.993,0.655,0.953,0.928
0.740,0.858,0.651,0.348,0.993,0.654,0.953,0.928
0.750,0.857,0.649,0.346,0.993,0.653,0.953,0.928
0.760,0.857,0.649,0.344,0.993,0.652,0.953,0.928
0.770,0.857,0.648,0.342,0.993,0.651,0.954,0.928
0.780,0.857,0.647,0.340,0.993,0.650,0.954,0.928
0.790,0.857,0.646,0.338,0.993,0.650,0.954,0.928
0.800,0.856,0.645,0.337,0.993,0.649,0.954,0.928
0.810,0.856,0.644,0.334,0.993,0.648,0.954,0.928
0.820,0.856,0.643,0.332,0.993,0.647,0.955,0.928
0.830,0.856,0.642,0.330,0.992,0.646,0.955,0.928
0.840,0.855,0.641,0.328,0.992,0.645,0.955,0.928
0.850,0.855,0.640,0.325,0.992,0.644,0.955,0.928
0.860,0.855,0.639,0.323,0.992,0.643,0.955,0.928
0.870,0.855,0.638,0.321,0.992,0.642,0.955,0.928
0.880,0.854,0.636,0.318,0.992,0.640,0.955,0.928
0.890,0.854,0.635,0.316,0.992,0.639,0.955,0.928
0.900,0.854,0.634,0.314,0.992,0.638,0.955,0.928
0.910,0.853,0.633,0.312,0.992,0.637,0.955,0.928
0.920,0.853,0.632,0.309,0.992,0.636,0.955,0.928
0.930,0.853,0.631,0.307,0.992,0.635,0.955,0.928
0.940,0.853,0.631,0.306,0.992,0.635,0.955,0.928
0.950,0.852,0.630,0.303,0.992,0.633,0.956,0.928
0.960,0.852,0.628,0.301,0.992,0.632,0.956,0.928
0.970,0.851,0.628,0.300,0.992,0.632,0.956,0.928
0.980,0.851,0.627,0.298,0.992,0.631,0.956,0.928
0.990,0.851,0.626,0.296,0.992,0.630,0.956,0.928
