epsilon,f1_macro,accuracy,uuc_accuracy,inner_metric,outer_metric,halfpoint,auroc
0.000,0.061,0.500,1.000,1.000,0.500,0.000,0.980
0.001,0.859,0.837,0.688,0.999,0.838,0.987,0.980
0.002,0.846,0.820,0.652,0.999,0.821,0.988,0.980
0.003,0.841,0.812,0.636,0.999,0.813,0.989,0.980
0.004,0.835,0.805,0.620,0.999,0.805,0.990,0.980
0.005,0.831,0.799,0.608,0.999,0.800,0.990,0.980
0.006,0.828,0.794,0.598,0.999,0.795,0.990,0.980
0.007,0.825,0.789,0.588,0.999,0.790,0.991,0.980
0.008,0.823,0.786,0.582,0.999,0.787,0.991,0.980
0.009,0.820,0.783,0.576,0.999,0.784,0.991,0.980
0.010,0.819,0.782,0.573,0.999,0.782,0.991,0.980
0.011,0.818,0.779,0.568,0.999,0.780,0.991,0.980
0.012,0.816,0.777,0.563,0.999,0.778,0.991,0.980
0.013,0.815,0.775,0.559,0.998,0.776,0.991,0.980
0.014,0.813,0.773,0.556,0.998,0.774,0.991,0.980
0.015,0.812,0.771,0.552,0.998,0.772,0.991,0.980
0.016,0.811,0.769,0.547,0.998,0.770,0.991,0.980
0.017,0.810,0.768,0.545,0.998,0.768,0.991,0.980
0.018,0.809,0.766,0.541,0.998,0.767,0.991,0.980
0.019,0.808,0.765,0.540,0.998,0.766,0.991,0.980
0.020,0.807,0.764,0.537,0.998,0.765,0.991,0.980
0.021,0.807,0.763,0.535,0.998,0.764,0.991,0.980
0.022,0.806,0.762,0.532,0.998,0.763,0.992,0.980
0.023,0.805,0.760,0.529,0.998,0.761,0.992,0.980
0.024,0.804,0.760,0.527,0.998,0.760,0.992,0.980
0.025,0.803,0.759,0.525,0.998,0.759,0.992,0.980
0.026,0.803,0.758,0.524,0.998,0.759,0.992,0.980
0.027,0.802,0.757,0.521,0.998,0.757,0.992,0.980
0.028,0.801,0.756,0.519,0.998,0.756,0.992,0.980
0.029,0.801,0.754,0.517,0.998,0.755,0.992,0.980
0.030,0.800,0.754,0.516,0.998,0.755,0.992,0.980
0.031,0.800,0.753,0.514,0.998,0.754,0.992,0.980
0.032,0.799,0.752,0.513,0.998,0.753,0.992,0.980
0.033,0.798,0.751,0.510,0.998,0.752,0.992,0.980
0.034,0.798,0.751,0.510,0.998,0.752,0.992,0.980
0.035,0.797,0.750,0.508,0.998,0.751,0.992,0.980
0.036,0.797,0.749,0.507,0.998,0.750,0.992,0.980
0.037,0.796,0.749,0.505,0.998,0.749,0.992,0.980
0.038,0.796,0.747,0.502,0.998,0.748,0.992,0.980
0.039,0.795,0.747,0.501,0.998,0.748,0.992,0.980
0.040,0.795,0.746,0.500,0.998,0.747,0.992,0.980
0.041,0.794,0.745,0.499,0.998,0.746,0.992,0.980
0.042,0.794,0.745,0.497,0.998,0.745,0.992,0.980
0.043,0.793,0.744,0.495,0.998,0.745,0.992,0.980
0.044,0.793,0.743,0.494,0.998,0.744,0.992,0.980
0.045,0.792,0.742,0.492,0.998,0.743,0.992,0.980
0.046,0.792,0.742,0.491,0.998,0.742,0.992,0.980
0.047,0.791,0.741,0.490,0.998,0.742,0.992,0.980
0.048,0.791,0.741,0.489,0.998,0.741,0.992,0.980
0.049,0.791,0.740,0.488,0.998,0.741,0.992,0.980
0.050,0.790,0.740,0.487,0.998,0.741,0.992,0.980
0.051,0.790,0.739,0.485,0.998,0.740,0.992,0.980
0.052,0.789,0.738,0.484,0.998,0.739,0.992,0.980
0.053,0.789,0.738,0.483,0.998,0.739,0.992,0.980
0.054,0.789,0.737,0.482,0.998,0.738,0.992,0.980
0.055,0.788,0.737,0.482,0.998,0.738,0.992,0.980
0.056,0.788,0.736,0.481,0.998,0.737,0.992,0.980
0.057,0.788,0.736,0.480,0.998,0.737,0.992,0.980
0.058,0.787,0.735,0.479,0.998,0.736,0.992,0.980
0.059,0.787,0.735,0.478,0.998,0.736,0.992,0.980
0.060,0.787,0.735,0.477,0.998,0.736,0.992,0.980
0.061,0.787,0.734,0.477,0.998,0.735,0.992,0.980
0.062,0.786,0.734,0.476,0.998,0.735,0.992,0.980
0.063,0.786,0.733,0.474,0.998,0.734,0.992,0.980
0.064,0.786,0.733,0.474,0.998,0.734,0.992,0.980
0.065,0.785,0.733,0.473,0.998,0.734,0.992,0.980
0.066,0.785,0.732,0.471,0.998,0.733,0.992,0.980
0.067,0.784,0.731,0.470,0.998,0.732,0.992,0.980
0.068,0.784,0.731,0.469,0.998,0.732,0.992,0.980
0.069,0.784,0.730,0.469,0.998,0.731,0.992,0.980
0.070,0.783,0.730,0.467,0.998,0.731,0.992,0.980
0.071,0.783,0.729,0.466,0.998,0.730,0.992,0.980
0.072,0.783,0.729,0.465,0.998,0.730,0.992,0.980
0.073,0.782,0.728,0.464,0.998,0.729,0.992,0.980
0.074,0.782,0.728,0.464,0.998,0.729,0.992,0.980
0.075,0.782,0.728,0.463,0.998,0.729,0.992,0.980
0.076,0.782,0.727,0.462,0.998,0.728,0.992,0.980
0.077,0.781,0.727,0.462,0.998,0.728,0.992,0.980
0.078,0.781,0.727,0.461,0.998,0.728,0.992,0.980
0.079,0.781,0.726,0.460,0.998,0.727,0.993,0.980
0.080,0.781,0.726,0.459,0.998,0.727,0.993,0.980
0.081,0.781,0.726,0.459,0.998,0.727,0.993,0.980
0.082,0.780,0.725,0.458,0.998,0.726,0.993,0.980
0.083,0.780,0.725,0.458,0.998,0.726,0.993,0.980
0.084,0.780,0.725,0.457,0.998,0.726,0.993,0.980
0.085,0.780,0.725,0.457,0.998,0.726,0.993,0.980
0.086,0.780,0.724,0.456,0.998,0.725,0.993,0.980
0.087,0.779,0.724,0.455,0.998,0.725,0.993,0.980
0.088,0.779,0.724,0.455,0.998,0.725,0.993,0.980
0.089,0.779,0.723,0.454,0.998,0.724,0.993,0.980
0.090,0.779,0.723,0.453,0.998,0.724,0.993,0.980
0.091,0.779,0.723,0.453,0.998,0.724,0.993,0.980
0.092,0.779,0.723,0.453,0.998,0.724,0.993,0.980
0.093,0.778,0.723,0.452,0.998,0.724,0.993,0.980
0.094,0.778,0.722,0.451,0.998,0.723,0.993,0.980
