tail,f1_macro,accuracy,uuc_accuracy,inner_metric,outer_metric,halfpoint,auroc
100,0.893,0.785,0.611,0.990,0.790,0.960,0.941
200,0.903,0.835,0.724,0.994,0.838,0.946,0.951
300,0.904,0.855,0.780,0.996,0.857,0.930,0.956
400,0.903,0.866,0.815,0.997,0.867,0.916,0.958
500,0.902,0.874,0.842,0.997,0.875,0.906,0.959
600,0.900,0.878,0.860,0.998,0.879,0.895,0.960
700,0.899,0.881,0.876,0.998,0.882,0.887,0.961
800,0.897,0.883,0.888,0.998,0.884,0.878,0.962
900,0.896,0.885,0.900,0.998,0.886,0.870,0.962
1000,0.894,0.886,0.908,0.999,0.886,0.863,0.962
