epsilon,f1_macro,accuracy,uuc_accuracy,inner_metric,outer_metric,halfpoint,auroc
0.000,0.699,0.475,0.000,0.949,0.500,0.949,0.284
0.010,0.699,0.475,0.000,0.949,0.500,0.949,0.284
0.020,0.699,0.475,0.000,0.950,0.500,0.949,0.284
0.030,0.699,0.475,0.000,0.950,0.500,0.949,0.284
0.040,0.699,0.475,0.000,0.950,0.500,0.949,0.284
0.050,0.699,0.474,0.000,0.950,0.499,0.949,0.284
0.060,0.699,0.474,0.000,0.950,0.499,0.948,0.284
0.070,0.699,0.474,0.000,0.951,0.498,0.948,0.284
0.080,0.699,0.474,0.000,0.952,0.498,0.947,0.284
0.090,0.699,0.473,0.000,0.952,0.496,0.946,0.284
0.100,0.698,0.472,0.000,0.954,0.495,0.944,0.284
0.110,0.698,0.471,0.000,0.955,0.494,0.943,0.284
0.120,0.698,0.470,0.000,0.956,0.492,0.940,0.284
0.130,0.697,0.468,0.000,0.959,0.488,0.936,0.284
0.140,0.695,0.465,0.000,0.960,0.484,0.929,0.284
0.150,0.693,0.463,0.000,0.962,0.481,0.925,0.284
0.160,0.691,0.460,0.000,0.964,0.477,0.919,0.284
0.170,0.689,0.456,0.000,0.966,0.472,0.912,0.284
0.180,0.685,0.451,0.000,0.968,0.467,0.903,0.284
0.190,0.682,0.447,0.000,0.970,0.461,0.893,0.284
0.200,0.677,0.441,0.000,0.972,0.454,0.882,0.284
0.210,0.674,0.436,0.000,0.975,0.448,0.873,0.284
0.220,0.668,0.429,0.000,0.976,0.440,0.858,0.284
0.230,0.660,0.421,0.000,0.978,0.430,0.841,0.284
0.240,0.652,0.412,0.000,0.980,0.420,0.823,0.284
0.250,0.645,0.404,0.001,0.982,0.411,0.807,0.284
0.260,0.637,0.396,0.002,0.985,0.402,0.790,0.284
0.270,0.625,0.385,0.002,0.985,0.390,0.767,0.284
0.280,0.612,0.373,0.004,0.986,0.378,0.741,0.284
0.290,0.597,0.360,0.009,0.988,0.365,0.712,0.284
0.300,0.580,0.347,0.011,0.990,0.350,0.682,0.284
0.310,0.562,0.335,0.018,0.991,0.338,0.652,0.284
0.320,0.541,0.323,0.026,0.991,0.326,0.620,0.284
0.330,0.519,0.312,0.037,0.991,0.315,0.587,0.284
0.340,0.500,0.305,0.053,0.991,0.307,0.557,0.284
0.350,0.483,0.302,0.075,0.992,0.304,0.530,0.284
0.360,0.465,0.299,0.097,0.992,0.301,0.502,0.284
0.370,0.451,0.301,0.125,0.994,0.302,0.477,0.284
0.380,0.433,0.302,0.159,0.994,0.304,0.446,0.284
0.390,0.419,0.306,0.192,0.994,0.308,0.421,0.284
0.400,0.406,0.314,0.231,0.995,0.315,0.398,0.284
0.410,0.395,0.326,0.277,0.995,0.327,0.375,0.284
0.420,0.383,0.335,0.317,0.996,0.336,0.353,0.284
0.430,0.370,0.347,0.365,0.996,0.348,0.329,0.284
0.440,0.360,0.363,0.417,0.997,0.364,0.309,0.284
0.450,0.343,0.375,0.466,0.997,0.375,0.283,0.284
0.460,0.331,0.388,0.514,0.997,0.389,0.263,0.284
0.470,0.318,0.402,0.561,0.997,0.402,0.242,0.284
0.480,0.307,0.417,0.609,0.997,0.417,0.225,0.284
0.490,0.294,0.429,0.652,0.997,0.430,0.206,0.284
0.500,0.286,0.441,0.688,0.997,0.441,0.194,0.284
0.510,0.272,0.449,0.722,0.996,0.449,0.176,0.284
0.520,0.259,0.456,0.750,0.999,0.456,0.162,0.284
0.530,0.250,0.463,0.777,0.999,0.464,0.150,0.284
0.540,0.236,0.471,0.806,0.999,0.471,0.136,0.284
0.550,0.226,0.476,0.827,0.999,0.476,0.125,0.284
0.560,0.212,0.482,0.852,1.000,0.482,0.112,0.284
0.570,0.200,0.485,0.869,1.000,0.485,0.101,0.284
0.580,0.188,0.488,0.885,1.000,0.488,0.091,0.284
0.590,0.179,0.490,0.897,1.000,0.490,0.083,0.284
0.600,0.167,0.492,0.912,1.000,0.492,0.073,0.284
0.610,0.157,0.494,0.923,1.000,0.494,0.065,0.284
0.620,0.144,0.495,0.935,1.000,0.495,0.055,0.284
0.630,0.138,0.496,0.943,1.000,0.496,0.050,0.284
0.640,0.129,0.498,0.952,1.000,0.498,0.044,0.284
0.650,0.124,0.499,0.958,1.000,0.499,0.040,0.284
